Year,Month,Day,Time,TempC
2023,1,3,7:55,-11.11
2023,1,3,7:35,-11.11
2023,1,3,7:15,-11.11
2023,1,3,6:55,-11.11
2023,1,3,6:35,-11.11
2023,1,3,6:15,-11.11
2023,1,3,5:55,-11.11
2023,1,3,5:35,-11.11
2023,1,3,5:15,-11.11
2023,1,3,4:55,-11.11
2023,1,3,4:35,-11.11
2023,1,3,4:15,-10.0
2023,1,3,3:55,-10.0
2023,1,3,3:35,-10.0
2023,1,3,3:15,-10.0
2023,1,3,2:55,-10.0
2023,1,3,2:35,-10.0
2023,1,3,2:15,-10.0
2023,1,3,1:55,-10.0
2023,1,3,1:35,-10.0
2023,1,3,1:15,-8.89
2023,1,3,0:55,-8.89
2023,1,3,0:35,-8.89
2023,1,3,0:15,-8.89
2023,1,2,23:55,-8.89
2023,1,2,23:35,-8.89
2023,1,2,23:15,-8.89
2023,1,2,22:55,-8.89
2023,1,2,22:35,-8.89
2023,1,2,22:15,-8.89
2023,1,2,21:55,-8.89
2023,1,2,21:35,-8.89
2023,1,2,21:15,-8.89
2023,1,2,20:55,-8.89
2023,1,2,20:35,-7.78
2023,1,2,20:15,-7.78
2023,1,2,19:55,-7.78
2023,1,2,19:35,-7.78
2023,1,2,19:15,-7.78
2023,1,2,18:55,-7.78
2023,1,2,18:35,-7.78
2023,1,2,18:15,-7.78
2023,1,2,17:55,-7.78
2023,1,2,17:35,-7.78
2023,1,2,17:15,-7.22
2023,1,2,16:55,-7.22
2023,1,2,16:35,-7.22
2023,1,2,16:15,-7.22
2023,1,2,15:55,-7.22
2023,1,2,15:35,-7.22
2023,1,2,15:15,-7.22
2023,1,2,14:55,-7.22
2023,1,2,14:35,-7.22
2023,1,2,14:15,-7.78
2023,1,2,13:55,-7.78
2023,1,2,13:35,-7.22
2023,1,2,13:15,-7.22
2023,1,2,12:55,-7.22
2023,1,2,12:35,-7.78
2023,1,2,12:15,-7.78
2023,1,2,11:55,-7.78
2023,1,2,11:35,-7.78
2023,1,2,11:15,-7.78
2023,1,2,10:55,-7.78
2023,1,2,10:35,-7.78
2023,1,2,10:15,-7.78
2023,1,2,9:55,-7.78
2023,1,2,9:35,-7.78
2023,1,2,9:15,-7.78
2023,1,2,8:55,-7.78
2023,1,2,8:35,-7.78
2023,1,2,8:15,-7.78
2023,1,2,7:55,-7.22
2023,1,2,7:35,-7.22
2023,1,2,7:15,-7.22
2023,1,2,6:55,-7.22
2023,1,2,6:35,-7.22
2023,1,2,6:15,-7.22
2023,1,2,5:55,-6.11
2023,1,2,5:35,-6.11
2023,1,2,5:15,-6.11
2023,1,2,4:55,-6.11
2023,1,2,4:35,-6.11
2023,1,2,4:15,-6.11
2023,1,2,3:55,-6.11
2023,1,2,3:35,-6.11
2023,1,2,3:15,-6.11
2023,1,2,2:55,-6.11
2023,1,2,2:35,-6.11
2023,1,2,2:15,-6.11
2023,1,2,1:55,-6.11
2023,1,2,1:35,-6.11
2023,1,2,1:15,-6.11
2023,1,2,0:55,-6.11
2023,1,2,0:35,-5.0
2023,1,2,0:15,-5.0
2023,1,1,23:55,-5.0
2023,1,1,23:35,-5.0
2023,1,1,23:15,-5.0
2023,1,1,22:55,-5.0
2023,1,1,22:35,-5.0
2023,1,1,22:15,-5.0
2023,1,1,21:55,-5.0
2023,1,1,21:35,-5.0
2023,1,1,21:15,-3.89
2023,1,1,20:55,-3.89
2023,1,1,20:35,-3.89
2023,1,1,20:15,-3.89
2023,1,1,19:55,-3.89
2023,1,1,19:35,-3.89
2023,1,1,19:15,-3.89
2023,1,1,18:55,-3.89
2023,1,1,18:35,-3.89
2023,1,1,18:15,-3.89
2023,1,1,17:55,-3.89
2023,1,1,17:35,-3.89
2023,1,1,17:15,-2.78
2023,1,1,16:55,-2.78
2023,1,1,16:35,-2.78
2023,1,1,16:15,-2.78
2023,1,1,15:55,-2.78
2023,1,1,15:35,-2.78
2023,1,1,15:15,-2.78
2023,1,1,14:55,-2.78
2023,1,1,14:35,-2.78
2023,1,1,14:15,-2.78
2023,1,1,13:55,-2.78
2023,1,1,13:35,-2.78
2023,1,1,13:15,-2.78
2023,1,1,12:55,-2.78
2023,1,1,12:35,-2.78
2023,1,1,12:15,-2.78
2023,1,1,11:55,-2.78
2023,1,1,11:35,-2.78
2023,1,1,11:15,-2.78
2023,1,1,10:55,-2.78
2023,1,1,10:35,-2.78
2023,1,1,10:15,-2.78
2023,1,1,9:55,-2.22
2023,1,1,9:35,-2.22
2023,1,1,9:15,-2.22
2023,1,1,8:55,-2.22
2023,1,1,8:35,-2.22
2023,1,1,8:15,-2.22
2023,1,1,7:55,-2.22
2023,1,1,7:35,-2.22
2023,1,1,7:15,-2.22
2023,1,1,6:55,-2.22
2023,1,1,6:35,-2.22
2023,1,1,6:15,-2.22
2023,1,1,5:55,-2.22
2023,1,1,5:35,-2.22
2023,1,1,5:15,-2.22
2023,1,1,4:55,-2.22
2023,1,1,4:35,-2.22
2023,1,1,4:15,-2.22
2023,1,1,3:55,-2.22
2023,1,1,3:35,-2.22
2023,1,1,3:15,-2.22
2023,1,1,2:55,-2.22
2023,1,1,2:35,-2.22
2023,1,1,2:15,-2.78
2023,1,1,1:55,-2.78
2023,1,1,1:35,-2.78
2023,1,1,1:15,-2.78
2023,1,1,0:55,-2.78
2023,1,1,0:35,-2.78
2023,1,1,0:15,-2.78
